Player,Season,Team,fWAR,OPS,BABIP,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,WOBA,WOBACON,Pitches,Batted Balls,Barrels,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Sweet Spot %,Barrel %,SF,SB,CS,GDP,HBP,IBB,SH,Pitches/AB
Mookie Betts,2023,LAD,8.3,0.9869999999999999,0.316,693,584,179,40,1,39,96,107,0.307,0.408,0.579,0.416,0.45,2712,482,60,48.5,92.4,20.6,0.294,0.563,0.407,0.437,49.1,60.3,91.8,16.6,53.9,41.2,18.5,38.1,16.7,7.2,74.2,482,27.6,35.7,29.3,7.5,45.4,35.3,19.3,1.5,20.5,29.7,24.7,11.2,42.5,12.4,5,14,3,5,8,3,0,4.6438356164383565
Freddie Freeman,2023,LAD,7.9,0.9769999999999999,0.37,730,637,211,59,2,29,72,121,0.331,0.41,0.567,0.411,0.463,2753,521,58,42.2,90,15.2,0.323,0.565,0.408,0.461,49,76.1,85.7,26.9,63.1,42.3,41.8,51,20.4,6.9,91.5,521,35.9,29.6,30.9,3.6,35.3,36.5,28.2,2.7,25.7,21.7,29.6,8.8,46.6,11.1,5,23,1,14,16,12,0,4.32182103610675
Matt Olson,2023,ATL,6.7,0.993,0.302,720,608,172,27,3,54,104,167,0.283,0.389,0.604,0.413,0.504,3092,445,73,55.5,93.7,16.1,0.264,0.558,0.392,0.47,45.8,71.5,75.6,26,62.4,42.4,30.1,46.8,28.4,7,81.4,445,38.7,34.4,20.9,6.1,36,40.2,23.8,1.8,27.2,26.1,19.1,9.2,31,16.4,4,1,0,13,4,8,0,5.0855263157894735
Shohei Ohtani,2023,LAA,6.6,1.066,0.342,599,497,151,26,8,44,91,143,0.304,0.412,0.654,0.433,0.553,2321,357,70,54.2,94.4,13.2,0.295,0.638,0.427,0.543,45.4,70.5,76,29.7,51.5,42.5,39,48.2,32.3,6.6,73.9,357,42.6,30.3,22.7,4.5,37,37.8,25.2,1.4,30.5,19.6,22.1,6.4,35.6,19.6,3,20,6,9,3,21,0,4.670020120724346
Marcus Semien,2023,TEX,6.3,0.826,0.291,753,670,185,40,4,29,72,110,0.276,0.348,0.478,0.354,0.377,2799,565,37,37,88.4,19.1,0.262,0.427,0.333,0.349,49.9,72.9,88.4,21.4,60,43,36.4,47.1,18,7.4,85.6,565,34,35.4,23.5,7.1,46.9,32.9,20.2,2.7,24.1,36.1,23.5,6.9,37.5,6.5,5,14,3,5,5,1,0,4.177611940298507
Corey Seager,2023,TEX,6.1,1.013,0.34,536,477,156,42,0,33,49,88,0.327,0.39,0.623,0.419,0.481,1846,395,60,53.2,93.3,13,0.314,0.612,0.412,0.472,48.7,83.6,85.9,28.1,44,43.4,52,55.1,25,6.6,95.9,395,40.3,29.4,27.1,3.3,39,37,24.1,3.8,27.6,21.3,20.8,11.4,38,15.2,6,2,1,9,4,9,0,3.870020964360587
Corbin Carroll,2023,ARI,6,0.868,0.325,645,565,161,30,10,25,57,125,0.285,0.362,0.506,0.37,0.423,2431,450,34,40.9,90,11,0.268,0.441,0.344,0.386,47.8,65.3,84.8,28,62.8,43.4,32.3,45.8,21.5,6.6,78.3,450,45.3,24,23.3,7.3,38.4,36.9,24.7,5.3,34.2,22.7,22,7.8,32.7,7.6,4,54,5,7,13,1,6,4.302654867256638
Francisco Lindor,2023,NYM,6,0.806,0.277,687,602,153,33,2,31,66,137,0.254,0.336,0.47,0.346,0.388,2741,472,49,43.9,91.2,19.2,0.255,0.457,0.346,0.388,48.2,70.3,83.9,27.2,61.2,42.9,26.4,48,22.8,7.4,76.5,472,34.1,31.4,24.2,10.4,44.7,35.4,19.9,2.1,23.9,33.1,23.3,7.2,35.8,10.4,7,31,4,8,12,1,0,4.553156146179402
Julio Rodríguez,2023,SEA,5.9,0.8180000000000001,0.33,714,654,180,37,2,32,47,175,0.275,0.333,0.485,0.347,0.436,2511,481,57,52,92.7,8.5,0.274,0.475,0.345,0.431,47.6,72.1,83.3,37.4,51.4,41.5,41.5,53.9,28.2,7.6,78.9,481,47.6,24.5,23.3,4.6,39.5,36.6,23.9,3.3,36.4,20,21,7.3,31.8,11.9,2,37,10,14,11,6,0,3.8394495412844036
Bobby Witt Jr.,2023,KC,5.7,0.8140000000000001,0.295,694,641,177,28,11,30,40,121,0.276,0.319,0.495,0.343,0.393,2701,529,61,45.6,90.7,15.7,0.294,0.533,0.369,0.427,49.1,71,83.3,30.6,63.5,41.5,30.4,50.5,22.8,7.7,83.6,529,37.6,28.4,25.9,8.1,35,33.5,31.6,3,30.1,25.9,22.1,7.2,34.4,11.5,8,49,15,11,4,1,1,4.213728549141965
Juan Soto,2023,SDP,5.5,0.929,0.296,708,568,156,32,1,35,132,129,0.275,0.41,0.519,0.395,0.426,2897,445,58,55.3,93.2,6.7,0.284,0.538,0.408,0.446,46.7,57.8,85.5,16.6,59.8,41.8,24.1,35.8,20.4,7,73.8,445,51.9,25.2,18.9,4,35.5,43.1,21.3,3.1,35.5,17.1,23.4,7.6,28.5,13,5,12,5,18,2,11,1,5.100352112676056
William Contreras,2023,MIL,5.4,0.8240000000000001,0.348,611,540,156,38,1,17,63,126,0.289,0.367,0.457,0.357,0.411,2419,417,39,48.7,91.3,4.7,0.255,0.433,0.335,0.379,48.7,62.6,79,24.7,55.4,42.7,28.7,43.2,28,8,73.1,417,55.4,20.4,19.9,4.3,32.6,39.6,27.8,3.6,41.5,16.8,21.3,6.2,27.1,9.4,2,6,1,23,5,2,1,4.479629629629629
Aaron Judge,2023,NYY,5.3,1.0190000000000001,0.3,458,367,98,16,0,37,88,130,0.267,0.406,0.613,0.42,0.557,1901,240,66,64.2,97.6,20.4,0.289,0.712,0.461,0.635,46,66.9,72.5,19.5,37,40.8,33,41.3,36.6,8,79.1,240,30.4,40.8,22.5,6.3,44.2,35,20.8,0.8,17.9,20.8,22.1,10.4,37.1,27.5,3,3,1,5,0,9,0,5.179836512261581
Austin Riley,2023,ATL,5.2,0.861,0.324,715,636,179,32,3,37,59,172,0.281,0.345,0.516,0.363,0.449,2861,475,66,49.2,92.3,13.5,0.273,0.516,0.365,0.452,48.9,69.9,79.1,27.3,55.4,40.9,29,48.2,27.8,7.6,76.9,475,41.1,28.6,23.8,6.5,38.7,37.9,23.4,1.9,28.6,24,23.6,7.8,35.2,13.9,11,3,1,18,9,4,0,4.498427672955975
Adley Rutschman,2023,BAL,5.1,0.8089999999999999,0.303,687,588,163,31,1,20,92,101,0.277,0.374,0.435,0.352,0.362,2904,492,37,38.6,88.4,12.6,0.292,0.469,0.373,0.391,47.3,60.7,89.3,23.4,72.9,44.8,12,41,15.6,6.9,65.3,492,42.9,26,26.4,4.7,37.2,31.3,31.5,3.3,30.3,23.8,28.7,6.5,37,7.5,5,1,2,14,2,6,0,4.938775510204081
José Ramírez,2023,CLE,5.1,0.831,0.285,691,611,172,36,5,24,73,73,0.282,0.356,0.475,0.346,0.359,2610,544,38,40.4,90,18,0.299,0.48,0.359,0.375,47.2,67.2,91.2,28.2,69.8,42.6,18.2,46.6,15.6,7.7,71.3,544,34.9,28.5,26.3,10.3,49.6,30.5,19.9,2.2,26.5,31.3,26.8,6.3,36.8,7,6,28,6,8,1,22,0,4.271685761047463
