Name,,Tm,R,RBI,SB,CS,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,PA
,Age,,,,,,,,,,,,,,
Junior Caminero,19,TBR,4,7,0,0,0.631,75,12,2,0,0,0,0,36
Evan Carter*,20,TEX,15,12,3,0,1.058,182,40,1,0,0,1,1,75
Jasson Domínguez#,20,NYY,6,7,1,0,0.98,158,21,1,0,0,0,0,33
Jordan Lawlar,20,ARI,2,0,1,1,0.335,-5,4,0,1,0,0,0,34
Francisco Álvarez,21,NYM,51,63,2,0,0.721,95,167,14,6,0,1,0,423
Pete Crow-Armstrong*,21,CHC,3,1,2,2,0.176,-46,0,0,0,2,0,0,19
Elly De La Cruz#,21,CIN,67,44,35,8,0.71,89,159,6,2,1,1,3,427
Marco Luciano,21,SFG,4,0,1,0,0.641,80,12,0,0,0,0,0,45
Noelvi Marte,21,CIN,15,15,6,2,0.822,120,52,1,1,0,0,0,123
Luis Matos,21,SFG,24,14,3,0,0.661,84,78,3,3,2,0,0,253
Kyren Paris,21,LAA,4,1,3,0,0.3,-14,4,0,1,1,0,0,46
Nolan Schanuel*,21,LAA,19,6,0,0,0.732,103,36,1,3,0,0,1,132
Tyler Soderstrom*,21,OAK,9,7,0,0,0.472,36,30,6,1,0,1,0,138
Ezequiel Tovar,21,COL,79,73,11,5,0.695,77,237,10,4,2,3,0,615
Jordan Walker,21,STL,51,51,7,4,0.787,114,187,9,6,0,2,0,465
Masyn Winn,21,STL,8,12,2,1,0.467,29,29,1,0,2,3,0,137
CJ Abrams*,22,WSN,83,64,47,4,0.712,95,232,7,13,3,3,2,614
Osleivis Basabe,22,TBR,15,12,0,1,0.587,64,27,2,1,0,0,0,94
Lawrence Butler*,22,OAK,10,10,0,0,0.582,64,42,5,1,0,1,0,129
Corbin Carroll*,22,ARI,116,76,54,5,0.868,134,286,7,13,6,4,1,645
Jordan Diaz,22,OAK,20,27,0,1,0.637,81,99,10,3,0,1,0,293
Wander Franco#,22,TBR,65,58,30,10,0.819,126,210,18,3,0,4,3,491
Riley Greene*,22,DET,51,37,7,0,0.796,117,169,7,1,0,2,0,416
Vaughn Grissom,22,ATL,5,9,0,1,0.659,78,26,2,2,0,1,0,80
Michael Harris II*,22,ATL,76,57,20,4,0.808,114,241,8,5,1,3,1,539
Gunnar Henderson*,22,BAL,100,82,10,3,0.814,125,274,10,3,0,3,1,622
Luke Little*,22,CHC,0,0,0,0,,,0,0,0,0,0,0,0
Ronny Mauricio#,22,NYM,11,9,7,0,0.643,77,35,2,0,0,0,0,108
Curtis Mead,22,TBR,12,5,0,0,0.675,89,29,3,2,0,0,0,92
Zach Neto,22,LAA,38,34,5,1,0.685,86,109,5,16,1,3,0,329
Liover Peguero,22,PIT,21,26,6,2,0.653,77,74,6,1,2,1,0,213
Everson Pereira,22,NYY,6,10,4,0,0.427,20,18,1,2,0,0,0,103
Ceddanne Rafaela,22,BOS,11,5,3,1,0.666,78,32,2,1,0,1,0,89
Brayan Rocchio#,22,CLE,9,8,0,0,0.6,68,26,4,0,0,1,0,86
José Rodriguez,22,CHW,1,0,0,0,,,0,0,0,0,0,0,0
Julio Rodríguez,22,SEA,102,103,37,10,0.818,128,317,14,11,0,2,6,714
Johan Rojas,22,PHI,24,23,14,1,0.771,111,64,1,4,6,0,0,164
José Tena*,22,CLE,2,3,0,0,0.584,65,9,0,0,0,0,0,34
Anthony Volpe,22,NYY,62,60,24,5,0.666,81,207,10,5,1,2,0,601
Jordyn Adams,23,LAA,1,1,1,2,0.253,-31,5,0,0,0,1,0,40
Gabriel Arias,23,CLE,36,26,3,4,0.628,75,111,9,1,0,1,0,345
Ji Hwan Bae*,23,PIT,54,32,24,9,0.608,67,104,4,2,3,2,0,371
Brett Baty*,23,NYM,41,34,2,0,0.598,65,114,8,2,1,1,0,389
Alexander Canario,23,CHC,1,6,0,0,0.941,143,11,0,0,0,0,0,17
Triston Casas*,23,BOS,66,65,0,0,0.856,129,210,7,1,0,2,2,502
Colton Cowser*,23,BAL,15,4,1,0,0.433,28,9,1,2,0,1,0,77
Henry Davis,23,PIT,27,24,3,5,0.653,78,79,3,4,0,1,2,255
Xavier Edwards#,23,MIA,12,3,5,0,0.663,81,26,1,1,2,0,0,84
Christian Encarnacion-Strand,23,CIN,29,37,2,0,0.805,113,106,5,5,0,0,0,241
Sal Frelick*,23,MIL,29,24,7,0,0.692,91,67,2,1,0,3,0,223
Luis García Jr.*,23,WSN,61,50,9,4,0.688,90,172,10,0,1,7,1,482
Maikel García,23,KCR,59,50,23,7,0.681,88,166,9,2,1,10,0,515
Zack Gelof,23,OAK,40,32,14,2,0.84,137,136,5,3,0,1,1,300
Hunter Goodman,23,COL,6,17,1,0,0.632,60,27,2,0,0,2,0,77
Nolan Gorman*,23,STL,59,76,7,2,0.805,117,194,5,3,0,2,1,464
Iván Herrera,23,STL,6,4,0,0,0.76,112,13,1,2,0,0,0,44
Jarred Kelenic*,23,SEA,44,49,13,5,0.746,109,156,6,1,0,2,4,416
Tucupita Marcano*,23,PIT,16,18,5,2,0.633,72,72,2,3,3,2,0,220
Matt McLain,23,CIN,65,50,14,5,0.864,129,185,5,7,0,0,0,403
Parker Meadows*,23,DET,19,13,8,1,0.699,92,46,0,2,0,1,1,145
Wade Meckler*,23,SFG,6,4,0,0,0.578,64,14,0,2,0,0,0,64
Gabriel Moreno,23,ARI,33,50,6,2,0.747,104,139,17,3,0,7,0,380
Bo Naylor*,23,CLE,33,32,5,0,0.809,124,93,2,1,0,1,1,230
Logan O'Hoppe,23,LAA,23,29,0,1,0.796,111,91,4,2,0,1,0,199
Jonathan Ornelas,23,TEX,2,0,0,0,0.393,12,1,0,1,0,0,0,8
Oswald Peraza,23,NYY,15,14,4,3,0.539,49,47,1,5,0,0,0,191
Geraldo Perdomo#,23,ARI,71,47,16,4,0.712,96,146,2,6,14,4,1,495
Heliot Ramos,23,SFG,5,2,0,0,0.537,48,17,1,0,0,0,0,60
Endy Rodríguez#,23,PIT,27,13,0,0,0.612,67,61,3,0,0,1,0,204
Eguy Rosario,23,SDP,6,6,0,0,0.77,109,18,1,0,0,0,0,37
Michael Siani*,23,TOT,1,0,1,1,0.167,-48,0,0,0,0,0,0,6
Michael Siani*,23,CIN,1,0,0,1,,,0,0,0,0,0,0,1
Michael Siani*,23,STL,0,0,1,0,0,-100,0,0,0,0,0,0,5
Lenyn Sosa,23,CHW,12,14,0,1,0.571,53,57,3,0,3,1,1,173
